company_name,location,location_type,sales,url,phone_number
China Nat Ional Petroleum Corporation,Beijing(China),Headquarters,439113966449,www.cnpc.com.cn,1059984538.0
China Petrochemical Corporation,Beijing(China),Headquarters,436333387593,www.sinopecgroup.com,1059969295.0
China Petroleum & Chemical Corporation,Beijing(China),Headquarters,428729075280,www.sinopec.com,1059960028.0
Petro China Company Limited,Beijing(China),Headquarters,408936470580,www.petrochina.com.cn,
All China Federation Of Supply And Marketing Cooperatives,Beijing(China),Headquarters,357977400000,,1066050430.0
Beijing State-Owned Capital Operation And Management Company Limited,Beijing(China),Headquarters,220052928790,www.bscomc.com,1058582803.0
China International United Petroleum And Chemicals Co. Ltd,Beijing(China),Headquarters,207813568430,www.sinopec.com,
"Hainan Longmen Technology Co., Ltd.",Hainan(China),Headquarters,178300448222,www.lmkjjt.com.cn,
"China State Railway Group Co., Ltd",Beijing(China),Headquarters,176965271618,www.china-railway.com.cn,1051844150.0
China Construction Bank Corporation,Beijing(China),Headquarters,170317841551,www.ccb.com,1066215533.0
China Railway Group Limited,Beijing(China),Headquarters,167881163225,www.crec.cn,1051878413.0
Industrial And Commercial Bank Of China Limited,Beijing(China),Headquarters,159959026050,www.icbc-ltd.com,1066108608.0
China Railway Construction Corporation Limited,Beijing(China),Headquarters,159549992199,www.crcc.cn,1052688600.0
China Baowu Steel Group Corporation Limited,Shanghai(China),Headquarters,152080564607,www.baowugroup.com,
China Minmetals Corporation,Beijing(China),Headquarters,132981399956,www.minmetals.com.cn,1068495888.0
"Beijing Jingdong Century Trading Co.,Ltd",Beijing(China),Headquarters,132544851914,www.afmlxz.com,1089128888.0
Agricultural Bank Of China Limited,Beijing(China),Headquarters,126223668450,www.abchina.com,1085109619.0
State Grid Corporation Of China,Beijing(China),Headquarters,125675108063,www.sgcc.com.cn,1066598348.0
"Shanghai Automotive Co., Ltd.",Shanghai(China),Headquarters,121983477846,www.saicmotor.com,2122011138.0
"Shandong Energy Group Co., Ltd",Shandong(China),Headquarters,121087694606,www.ykjt.cn,5375386982.0
"China Resources Co.,Limited",Guangdong(China),Headquarters,120675688705,www.crc.com.hk,75582668888.0
"Shenzhen Zhaoji Optical Co., Ltd.",Guangdong(China),Headquarters,113745694017,www.zhao-ji.com,75529926029.0
Xiamen C&D Inc.,Fujian(China),Headquarters,110721036064,www.chinacnd.com,5922263333.0
"China Faw Group Co., Ltd.",Jilin(China),Headquarters,110384985213,www.faw.com.cn,43182021268.0
Sinopec Northwest Oil Field Branch,Xinjiang(China),Headquarters,110364180500,www.sinopec.com,
China Post Group,Beijing(China),Headquarters,109642729924,www.chinapost.com.cn,1068859786.0
Bank Of China Limited,Beijing(China),Headquarters,109183006632,www.boc.cn,1066596688.0
"Chn Energy Investment Group Co.,Ltd",Beijing(China),Headquarters,108054145140,www.ceic.com,
China Communications Construction Company Limited,Beijing(China),Headquarters,107247652380,www.ccccltd.cn,1082016595.0
"China Southern Power Grid Co., Ltd",Guangdong(China),Headquarters,105051747238,www.csg.cn,2036620353.0
Cofco Corporation,Beijing(China),Headquarters,104011018187,www.cofco.com,1085006249.0
"Ping An Life Insurance Company Of China,Ltd.",Guangdong(China),Headquarters,103728854830,life.pingan.com,75522627763.0
"Zhejiang State-Owned Capital Operation Co.,Ltd",Zhejiang(China),Headquarters,103513348091,www.zjsoam.com,57187251705.0
"Huawei Investment & Holding Co., Ltd.",Guangdong(China),Headquarters,98653843102,www.huawei.com,75528780808.0
Power Construction Corporation Of China,Beijing(China),Headquarters,97285671305,www.powerchina.cn,1058368887.0
Xiamen Itg Holding Group Co. Ltd.,Fujian(China),Headquarters,94631744628,www.itgholding.com.cn,5925830991.0
China Resources National Corporation,Beijing(China),Headquarters,93042460703,www.crc.com.cn,1085192621.0
Sinochem Corporation,Beijing(China),Headquarters,91727298181,www.sinochem.com,1059569042.0
State Power Corporation,Beijing(China),Headquarters,90995954247,www.sp.com.cn,1066298000.0
"Hna Group Co., Ltd",Hainan(China),Headquarters,89065090805,www.hnagroup.com,89868876455.0
Guangdong Yangxi County Post Bureau,Guangdong(China),Headquarters,88819186559,,6625552398.0
"Wuchan Zhongda Group Co.,Ltd.",Zhejiang(China),Headquarters,87992177692,www.zjmi.com,57185777029.0
Greenland Holdings Corporation Limited,Shanghai(China),Headquarters,85210708336,www.greenlandsc.com,
China Cosco Shipping Corporation Limited,Shanghai(China),Headquarters,84883354907,www.coscoshipping.com,2165966666.0
China North Industries Group Corporation Limited,Beijing(China),Headquarters,82518065675,www.norincogroup.com.cn,1068787948.0
"Sinopharm Group Co., Ltd.",Shanghai(China),Headquarters,81502834179,www.sinopharmgroup.com.cn,2123052666.0
Aluminum Corporation Of China,Beijing(China),Headquarters,81126979443,www.chinalco.com.cn,1082298080.0
Citic Group,Beijing(China),Headquarters,80400651976,www.citic.com,1059668333.0
Central Huijin Investment Ltd.,Beijing(China),Headquarters,79616382787,www.ccic-net.com.cn,1084096837.0
China National Chemical Corporation Limited,Beijing(China),Headquarters,78616608315,www.chemchina.com.cn,1082677290.0
Metallurgical Corporation Of China Ltd.,Beijing(China),Headquarters,78299417024,www.mccchina.com,1059869024.0
China Merchants Group Limited,Beijing(China),Headquarters,77454774520,www.cmhk.com,85225428288.0
China Life Insurance Company Limited,Beijing(China),Headquarters,77185735300,www.e-chinalife.com,1063633333.0
Legend Holdings Corporation,Beijing(China),Headquarters,76625727716,www.legendholdings.com.cn,1062509999.0
China State Construction Engineering Corporation Limited,Beijing(China),Headquarters,76622170728,www.cscec.com,1086498888.0
Xmxyg Corporation,Fujian(China),Headquarters,75767162425,www.xiangyu-group.com,5926036369.0
"Xiamen Itg Group Corp., Ltd.",Fujian(China),Headquarters,72697077522,www.itg.com.cn,5925161888.0
"Xiamen Xiangyu Co.,Ltd.",Fujian(China),Headquarters,72346788697,www.xiangyu-group.com,5926516003.0
The People'S Insurance Company (Group) Of China Limited,Beijing(China),Headquarters,71824914550,www.picc.com.cn,7752826364.0
"Jiangxi Copper Industry Group Co., Ltd.",Jiangxi(China),Headquarters,71549380340,www.jxcc.com,79182710306.0
"China Vanke Co.,Ltd.",Guangdong(China),Headquarters,70826627809,www.vanke.com,75525606666.0
"Country Garden Real Estate Group Co.,Ltd.",Guangdong(China),Headquarters,70807356239,www.bgy.com.cn,75729916436.0
"Power Construction Corporation Of China,Ltd",Beijing(China),Headquarters,70229499465,www.powerchina.cn,1058381999.0
China Poly Group Corporation Limited,Beijing(China),Headquarters,69625229608,www.poly.com.cn,
"Greenland Holding Group Co., Ltd.",Shanghai(China),Headquarters,69289954810,www.ldjt.com.cn,2153188666.0
Jiangxi Copper Company Limited,Jiangxi(China),Headquarters,69257718941,www.jxcc.com,79182710117.0
"Foxconn Industrial Internet Co.,Ltd.",Guangdong(China),Headquarters,68755536442,www.fii-foxconn.com,75533855777.0
