"company_name","location","location_type","sales","url","phone_number","rnk"
"Maithri Laboratories Private Limited","Telangana(India)","Headquarters",71883695016,"www.msnlabs.com",4030438600,1
"Aurobindo Pharma Limited","Telangana(India)","Headquarters",2156488488,"www.aurobindo.com",4066725000,2
"Dr.Reddy'S Laboratories Limited","Telangana(India)","Headquarters",1837091536,"www.drreddys.com",4049002135,3
"Mylan Laboratories Limited","Telangana(India)","Headquarters",1770625276,"www.mylan.in",4023550543,4
"Sun Pharmaceutical Industries Limited","Maharashtra(India)","Headquarters",1735291177,"www.sunpharma.com",2243242316,5
"Lupin Limited","Maharashtra(India)","Headquarters",1504776801,"www.lupin.com",2266402222,6
"Intas Pharmaceuticals Limited","Gujarat(India)","Headquarters",1437065420,"www.intaspharma.com",7961577000,7
"Hetero Labs Limited","Telangana(India)","Headquarters",1391429396,"www.heteroworld.com",4023704923,8
"Glenmark Pharmaceuticals Limited","Maharashtra(India)","Headquarters",1028523754,"www.glenmarkpharma.com",2240189999,9
"Zydus Lifesciences Limited","Gujarat(India)","Headquarters",1026562068,"www.zyduscadila.com",7672257121,10
"Serum Institute Of India Private Limited","Maharashtra(India)","Headquarters",994026040,"www.seruminstitute.com",2026137221,11
"Alkem Laboratories Limited","Maharashtra(India)","Headquarters",978438563,"www.alkemlabs.com",2224903642,12
"Macleods Pharmaceuticals Limited","Maharashtra(India)","Headquarters",968476631,"www.macleodspharma.com",2266762800,13
"Sun Pharma Laboratories Limited","Maharashtra(India)","Headquarters",927550117,"www.sunpharma.com",2243244324,14
"Divi'S Laboratories Limited","Telangana(India)","Headquarters",923149402,"www.divislabs.com",4023786300,15
"Reckitt Benckiser (India) Private Limited","Haryana(India)","Headquarters",913973471,"www.reckitt.com",NULL,16
"Torrent Pharmaceuticals Limited","Gujarat(India)","Headquarters",874207320,"www.torrentpharma.com",7926599000,17
"Abbott Healthcare Private Limited","Maharashtra(India)","Headquarters",834124645,"www.abbott.in",2250461000,18
"Johnson & Johnson Private Limited","Maharashtra(India)","Headquarters",768757184,"www.jnj.in",9820116883,19
"Mankind Pharma Limited","Delhi(India)","Headquarters",757315048,"www.mankindpharma.com",1146541111,20
"Ipca Laboratories Limited","Maharashtra(India)","Headquarters",698501726,"www.ipcalabs.com",2262105000,21
"Alembic Pharmaceuticals Limited","Gujarat(India)","Headquarters",681209455,"www.alembic-india.com",2652280550,22
"Laurus Labs Limited","Telangana(India)","Headquarters",647715429,"www.lauruslabs.com",4039804333,23
"Abbott India Limited","Maharashtra(India)","Headquarters",594619724,"www.abbott.co.in",2250169400,24
"Micro Labs Limited","Karnataka(India)","Headquarters",524995191,"www.microlabsltd.com",8022370451,25
